subject	科目 / 学科	knowledge	知识
exam / test	考试	grade	成绩 / 年级
term	学期	uniform	校服
experiment	实验	progress	进步
dictionary	字典	grammar	语法
sentence	句子	article	文章
note	笔记	rule	规则 / 定律
project	项目 / 课题	task	任务
attention	注意(力)	success	成功
improve	提高 / 改善	achieve	实现 / 达到
discover	发现	invent	发明
provide	提供	require	要求 / 需要
suggest	建议	expect	期待 / 预期
guess	猜想	mean	意思是 / 意味着
translate	翻译	pronounce	发音
explain	解释	describe	描述
remember	记得 / 记住	forget	忘记
choose	选择	decide	决定
confident	自信的	nervous	紧张的
proud	骄傲的 / 自豪的	shy	害羞的
lonely	孤独的	friendly	友好的
patient	有耐心的	strict	严格的
honest	诚实的	brave	勇敢的
crazy	疯狂的	stupid	愚蠢的
surprised	惊讶的	excited	兴奋的
relaxed	放松的	tired	疲惫的
careful	小心的 / 仔细的	careless	粗心的
excellent	优秀的 / 极好的	terrible	糟糕的 / 可怕的
normal	正常的	special	特殊的 / 特别的
serious	严肃的 / 严重的	common	常见的 / 普通的
popular	受欢迎的	famous	著名的
important	重要的	necessary	必要的
expensive	昂贵的	cheap	便宜的
valuable	有价值的	useless	无用的
rich	富有的	poor	贫穷的 / 可怜的
safe	安全的	dangerous	危险的
health	健康	disease	疾病
medicine	药	pill	药丸
patient	病人	dentist	牙医
fever	发烧	cough	咳嗽
toothache	牙痛	headache	头痛
stomach	胃 / 肚子	throat	喉咙
blind	盲的 / 失明的	deaf	聋的
hurt	受伤 / 疼痛	recover	恢复 / 康复
environment	环境	pollution	污染
nature	自然	resource	资源
earth	地球	planet	星球 / 行星
mountain	高山	forest	森林
ocean	海洋	river	河流
island	岛屿	beach	海滩
climate	气候	weather	天气
protect	保护	destroy	破坏 / 毁灭
culture	文化	history	历史
society	社会	population	人口
government	政府	law	法律
tradition	传统	custom	风俗 / 习惯
festival	节日	party	聚会 / 派对
activity	活动	experience	经验 / 经历
advantage	优势 / 优点	disadvantage	劣势 / 缺点
reason	原因	result	结果
technology	科技 / 技术	machine	机器
internet	互联网	website	网站
screen	屏幕	keyboard	键盘
program	程序 / 节目	message	消息 / 信息
camera	照相机	invention	发明(物)
download	下载	search	搜索 / 寻找
tool	工具	instrument	乐器 / 仪器
engine	引擎 / 发动机	electricity	电
traffic	交通	accident	事故 / 意外
passenger	乘客	tourist	游客
flight	航班	railway	铁路
passport	护照	ticket	票
direction	方向	distance	距离
journey	旅程	tour	旅行 / 观光
arrive	到达	leave	离开
bridge	桥梁	cross	穿过 / 越过
always	总是	usually	通常
often	经常	sometimes	有时
never	从不	hardly	几乎不
already	已经	yet	还(没) / 已经
especially	尤其 / 特别	exactly	确切地 / 精确地
maybe / perhaps	也许 / 可能	probably	很可能
luckily	幸运地	suddenly	突然地
together	一起	alone	单独地 / 独自
relative	亲戚	guest	客人
neighbor	邻居	host	主人 / 主持人
stranger	陌生人	captain	队长 / 船长
partner	搭档 / 伙伴	member	成员
coach	教练	manager	经理
customer	顾客	hero	英雄
leader	领导者	adult	成年人
communicate	交流 / 沟通	promise	保证 / 承诺
discuss	讨论	invite	邀请
argue	争论	introduce	介绍
agree	同意	warn	警告
refuse	拒绝	encourage	鼓励
accept	接受	praise	赞扬 / 表扬
reply	回复 / 回答	complain	抱怨
appear	出现	produce	生产 / 制造
disappear	消失	cause	引起 / 导致
happen	发生	prevent	阻止 / 预防
continue	继续	influence	影响
finish	完成	change	改变 / 变化
prepare	准备	mix	混合
celebrate	庆祝	separate	分开 / 分离
material	材料 / 物质	cotton	棉花 / 棉织物
metal	金属	silk	丝绸
plastic	塑料	oil	油 / 石油
glass	玻璃	stone	石头
wood	木头 / 木材	sand	沙子
gold	黄金	leather	皮革
silver	银	steel	钢 / 钢铁
price	价格	business	商业 / 生意
cost	花费 / 成本	company	公司
value	价值	market	市场
coin	硬币	deal	交易 / 处理
cash	现金	trade	贸易 / 交易
wallet	钱包	wealth	财富
bill	账单 / 钞票	salary	薪水 / 工资
recipe	食谱	sweet	甜的
menu	菜单	sour	酸的
boil	煮沸	bitter	苦的
fry	煎 / 炒	spicy	辣的
bake	烘焙 / 烤	salty	咸的
roast	烤 (肉类)	fresh	新鲜的
delicious	美味的	taste	品尝 / 味道
serve	上菜 / 服务	smell	闻 / 气味
mirror	镜子	drawer	抽屉
comb	梳子	shelf	架子
toothbrush	牙刷	carpet	地毯
towel	毛巾	curtain	窗帘
soap	肥皂	blanket	毯子
trash	垃圾	scissors	剪刀
basket	篮子	match	火柴 / 比赛
idea	想法 / 主意	courage	勇气
memory	记忆 / 回忆	energy	能量 / 精力
dream	梦想 / 梦	power	力量 / 权力
truth	真相 / 真理	purpose	目的 / 意图
secret	秘密	spirit	精神
chance	机会	honor	荣誉 / 荣幸
choice	选择	lie	谎言
shape	形状	weight	重量
circle	圆形	height	高度
square	正方形 / 广场	size	尺寸 / 大小
triangle	三角形	length	长度
line	线 / 排	double	双倍的
hole	洞 / 孔	single	单一的 / 单身的
half	一半	quarter	四分之一 / 一刻钟 
through	穿过 (内部)	until	直到...为止
across	穿过 (表面)	unless	除非
against	反对 / 靠着	although	虽然 / 尽管
beyond	超出 / 在...那边	whether	是否
without	没有	neither	两者都不
instead	代替 / 反而	either	两者之一 / 也
whatever	无论什么	whoever	无论谁
disaster	灾难	earthquake	地震
emergency	突发事件 / 紧急情况	flood	洪水
danger	危险	storm	暴风雨
warning	警告 / 预警	typhoon	台风
rescue	营救 / 救援	fire	火灾 / 火
survive	幸存 / 存活	drop	掉落 / 倒下
escape	逃跑 / 逃脱	hide	躲藏 / 隐藏
east	东 / 东方的	north	北 / 北方的
west	西 / 西方的	south	南 / 南方的
center	中心	capital	首都 / 省会
local	当地的 / 本地的	international	国际的
surface	表面	bottom	底部
edge	边缘	middle	中间
corner	角落 / 拐角	straight	直的 / 径直地
blood	血 / 血液	skin	皮肤
heart	心脏	bone	骨头
brain	大脑	neck	脖子
shoulder	肩膀	knee	膝盖
breath	呼吸 (名词)	breathe	呼吸 (动词)
pale	苍白的	weak	虚弱的
ache	疼痛 (如headache)	virus	病毒
operation	手术	medical	医疗的 / 医学的
concert	音乐会	exhibition	展览
magazine	杂志	newspaper	报纸
interview	采访 / 面试	review	评论 / 复习
painting	绘画 / 油画	photograph	照片 / 摄影
director	导演 / 主任	role	角色
magic	魔术 / 魔法	cartoon	卡通 / 动画片
channel	频道	record	记录 / 唱片
legal	合法的	illegal	非法的
punish	惩罚	duty	责任 / 义务
steal	偷窃	rob	抢劫
thief	小偷	crime	犯罪
guard	警卫 / 守卫	right	权利 (复数rights)
fair	公平的	unfair	不公平的
polite	有礼貌的	rude	粗鲁的 / 无礼的
connect	连接	communication	通讯 / 交流
document	文档	file	文件
software	软件	hardware	硬件
password	密码	signal	信号
battery	电池	charge	充电 / 收费
copy	复制	paste	粘贴
race	赛跑 / 竞速	match	比赛 / 火柴
champion	冠军	victory	胜利
defeat	击败 / 战胜	score	得分
athlete	运动员	training	训练
throw	投 / 扔	catch	抓住 / 接住
hit	击打 / 碰撞	kick	踢
pass	传递 / 通过	tie	平局 / 领带
give up	放弃	take off	起飞 / 脱下
look forward to	期待 / 盼望	put on	穿上 / 戴上
turn on	打开 (电器/水龙头)	turn off	关闭 (电器/水龙头)
look after	照顾 / 照料	find out	查明 / 发现真相
grow up	长大 / 成长	set up	建立 / 设立
wake up	醒来 / 叫醒	clean up	打扫干净 / 整理
run out of	用完 / 耗尽	cut off	切断 / 停止供应
depend on	依靠 / 依赖	put off	推迟 / 拖延
look up	(在字典中) 查阅	call off	取消
pick up	捡起 / 接(人) / 偶然学到	get along (with)	(与...) 融洽相处
break down	(机器) 出故障 / 抛锚	cheer up	振作起来
come up with	想出 (主意/办法)	go on	继续
