academy	学院 / 研究院	academic	学术的 / 学习良好的
campus	校园	scholarship	奖学金
assignment	作业 / 任务	graduation	毕业
lecture	讲座 / 讲课	semester	学期
analyze	分析	evaluate	评估 / 评价
concept	概念 / 观念	theory	理论
literature	文学	philosophy	哲学
essay	散文 / 短文 / 论文	register	注册 / 登记
absence	缺席 / 缺乏	presence	出席 / 存在
access	通道 / (使用)机会	accommodation	住宿 / 膳宿
coincidence	巧合	evidence	证据 / 证明
identity	身份	institution	机构 / 制度
perspective	视角 / 观点	phenomenon	现象 (复数: phenomena)
privilege	特权	reputation	名誉 / 名声
significance	意义 / 重要性	sequence	顺序 / 序列
symptom	症状	consequence	后果 / 结果
acknowledge	承认 / 答谢	assume	假定 / 承担
calculate	计算	concentrate	集中(注意力)
distinguish	区分 / 辨别	estimate	估计 / 估算
hesitate	犹豫	ignore	忽视 / 不理睬
perceive	察觉 / 认知	recognize	认出 / 认可
reflect	反射 / 反思	tolerate	容忍 / 忍受
suspect	怀疑 / 嫌疑人	advocate	提倡 / 拥护
confess	坦白 / 承认	consult	咨询 / 请教
abandon	放弃 / 抛弃	absorb	吸收 / 吸引
accomplish	完成 / 实现	adapt	适应 / 改编
allocate	分配	boom	繁荣 / 激增
commit	犯(错误) / 承诺	compromise	妥协 / 折中
contribute	贡献 / 导致	declare	宣布 / 声明
deserve	值得 / 应受	guarantee	保证 / 担保
maintain	维持 / 保养	promote	促进 / 晋升
purchase	购买	transform	转变 / 改造
aggressive	有攻击性的 / 进取的	ambitious	有雄心的 / 野心勃勃的
anxious	焦虑的 / 渴望的	arrogant	傲慢的
cautious	谨慎的	desperate	绝望的 / 拼命的
enthusiastic	热情的	generous	慷慨的 / 大方的
grateful	感激的	innocent	无辜的 / 天真的
optimistic	乐观的	pessimistic	悲观的
sensitive	敏感的 / 善解人意的	sympathetic	同情的
reliable	可靠的	stubborn	固执的 / 顽固的
absolute	绝对的	abundant	丰富的 / 充裕的
abstract	抽象的	accurate	准确的 / 精确的
adequate	充足的 / 足够的	alternative	可供选择的 / 替代的
artificial	人造的 / 虚伪的	complex	复杂的
constant	不断的 / 恒定的	crucial	至关重要的
delicate	精致的 / 脆弱的	dynamic	动态的 / 充满活力的
flexible	灵活的 / 柔韧的	fundamental	基础的 / 根本的
maximum	最大的	minimum	最小的
atmosphere	大气(层) / 气氛	biology	生物学
chemistry	化学	evolution	进化 / 演变
gene	基因	gravity	重力 / 引力
carbon	碳	radiation	辐射
satellite	卫星	species	物种 (单复数同形)
sustainable	可持续的	toxic	有毒的
universe	宇宙	volcano	火山
architecture	建筑(学)	chemical	化学物质 / 化学的
agriculture	农业	budget	预算
campaign	运动 / 战役	candidate	候选人
charity	慈善(机构)	constitution	宪法 / 体质
currency	货币 / 流通	democracy	民主
economy	经济	insurance	保险
justice	正义 / 司法	penalty	惩罚 / 罚款
policy	政策 / 方针	welfare	福利
security	安全 / 保障	violence	暴力
career	职业 / 事业	profession	(专业)职业
employ	雇佣	employee	雇员 / 员工
employer	雇主 / 老板	retire	退休
resign	辞职	apply	申请 (apply for)
corporation	大公司 / 企业	enterprise	企业 / 事业心
profit	利润 / 获益	budget	预算
invest	投资	investment	投资(名词)
import	进口 / 输入	export	出口 / 输出
negotiate	谈判 / 协商	contract	合同 / 契约
signature	签名	commercial	商业的 / 广告
surgeon	外科医生	physician	内科医生
bacteria	细菌	infection	感染 / 传染病
clinic	诊所	capsule	胶囊 / 太空舱
psychological	心理(学)的	mental	精神的 / 脑力的
depression	抑郁(症) / 萧条	anxiety	焦虑 / 渴望
severe	严重的 / 严厉的	mild	温和的 / 轻微的
immune	免疫的	overcome	克服 / 战胜
therapy	治疗 / 疗法	disabled	残疾的 / 丧失能力的
bleed	流血	heal	治愈 / 愈合
nutrition	营养	fatigue	疲劳 / 劳累
classic	经典的 / 名著	contemporary	当代的 / 同时代的人
ancient	古代的 / 古老的	civilization	文明
heritage	遗产	legend	传奇 / 传说
myth	神话	religion	宗教
gallery	画廊 / 美术馆	sculpture	雕塑 / 雕刻
masterpiece	杰作 / 名著	instrument	乐器 / 仪器
historic	有历史意义的	historical	历史(学)的
unique	独特的 / 唯一的	diverse	多种多样的
absolutely	绝对地 / 完全地	approximately	大约 / 近乎
deliberately	故意地 / 谨慎地	eventually	最终 / 终于
furthermore	此外 / 而且	meanwhile	同时 / 其间
nevertheless	尽管如此 / 然而	relatively	相对而言地
somehow	以某种方式 / 不知怎么地	thoroughly	彻底地 / 完全地
virtually	几乎 / 事实上	inevitably	不可避免地
consequently	因此 / 结果	undoubtedly	毫无疑问地
namely	即 / 也就是	merely	仅仅 / 只不过
however	然而 (常加逗号)	therefore	因此 (常加逗号)
moreover	此外 / 而且	otherwise	否则 / 另外
apart from	除了...之外	due to	由于 / 因为
in spite of	尽管 / 不顾	regardless of	不管 / 不顾
in terms of	在...方面 / 就...而言	on behalf of	代表...
leading to	导致...	resulting in	结果是...
prior to	在...之前	rather than	而不是...
as well as	也 / 还 / 和...一样好	as long as	只要...
adapt	适应 / 改编	adopt	收养 / 采纳
affect	影响 (动词)	effect	效果 / 影响 (名词)
award	奖品 / 授予	reward	回报 / 报酬
principal	校长 / 主要的	principle	原则 / 原理
sensible	明智的 / 合理的	sensitive	敏感的
economic	经济(上)的	economical	节约的 / 经济实惠的
respectful	尊敬人的	respectable	值得尊敬的
stationary	静止的 / 固定的	stationery	文具
